ea(%),evol(%),sigmav,sigmah
-0.001,-0.002,315.67,300.13
0.027,-0.003,322.26,300.19
0.055,-0.005,325.9,300.15
0.081,-0.01,337.91,300.12
0.108,-0.015,350.52,300.08
0.136,-0.024,369.26,300.04
0.162,-0.034,391.48,300.01
0.19,-0.047,416.58,300.02
0.219,-0.06,440.15,299.93
0.244,-0.07,455.03,299.94
0.27,-0.081,472.73,299.91
0.297,-0.094,494.47,299.84
0.323,-0.105,510.34,299.83
0.354,-0.12,531.65,299.77
0.38,-0.131,548.5,299.72
0.405,-0.142,563.33,299.71
0.436,-0.155,580.21,299.71
0.467,-0.168,597.85,299.67
0.498,-0.181,615.28,299.63
0.523,-0.19,627.06,299.64
0.548,-0.2,637.59,299.63
0.576,-0.208,649.08,299.58
0.608,-0.219,664.03,299.53
0.635,-0.228,675.56,299.53
0.666,-0.238,687.31,299.56
0.696,-0.246,698.04,299.58
0.728,-0.256,709.94,299.57
0.759,-0.264,719.83,299.59
0.788,-0.271,727.28,299.61
0.816,-0.278,734.93,299.62
0.846,-0.284,742.51,299.58
0.881,-0.291,751.96,299.61
0.918,-0.301,763.56,299.54
0.958,-0.309,774.17,299.54
0.998,-0.317,784.76,299.52
1.024,-0.322,789.94,299.53
1.064,-0.329,798.34,299.57
1.102,-0.335,806.11,299.59
1.14,-0.341,813.24,299.58
1.176,-0.347,819.8,299.61
1.214,-0.352,826.53,299.62
1.252,-0.357,833.45,299.64
1.286,-0.361,839.18,299.64
1.323,-0.365,845.07,299.64
1.356,-0.368,849.81,299.69
1.389,-0.371,855.12,299.7
1.42,-0.374,859.85,299.75
1.451,-0.377,864.33,299.72
1.481,-0.379,867.6,299.72
1.508,-0.381,875.65,299.63
1.534,-0.383,877.95,299.64
1.56,-0.385,881.04,299.64
1.594,-0.387,885.11,299.66
1.627,-0.389,888.59,299.7
1.66,-0.391,892.48,299.73
1.69,-0.392,896.12,299.71
1.72,-0.394,899.79,299.72
1.748,-0.395,903.27,299.74
1.778,-0.396,905.74,299.77
1.807,-0.397,909.39,299.76
1.836,-0.398,912.87,299.78
1.867,-0.398,916.33,299.81
1.896,-0.399,919.8,299.83
1.926,-0.399,923.67,299.86
1.954,-0.4,927.08,299.83
1.986,-0.399,930.31,299.85
2.018,-0.399,933.52,299.84
2.076,-0.4,939.39,299.85
2.134,-0.399,945.06,299.88
2.19,-0.398,950.51,299.89
2.248,-0.396,955.95,299.91
2.306,-0.395,961.45,299.99
2.363,-0.392,966.29,300.02
2.42,-0.389,971.56,300.09
2.478,-0.386,976.75,300.1
2.535,-0.383,981.77,300.14
2.594,-0.379,985.99,300.2
2.651,-0.375,990.82,300.27
2.709,-0.371,995.2,300.29
2.768,-0.366,999.56,300.33
2.825,-0.361,1004,300.41
2.877,-0.356,1007.8,300.44
2.936,-0.351,1012.2,300.53
2.994,-0.345,1016.1,300.53
3.053,-0.34,1019.7,300.59
3.111,-0.333,1022.4,300.65
3.162,-0.328,1025.6,300.7
3.212,-0.323,1029,300.71
3.271,-0.316,1032.1,300.74
3.33,-0.308,1034,300.12
3.388,-0.301,1037.2,300.07
3.44,-0.294,1039.5,300.09
3.499,-0.287,1043,300.13
3.557,-0.279,1046.1,300.2
3.616,-0.271,1049.3,300.28
3.667,-0.265,1051.8,300.33
3.726,-0.256,1055,300.45
3.785,-0.248,1057.8,300.5
3.843,-0.24,1060.9,300.52
3.9,-0.231,1063.4,300.57
3.95,-0.224,1065.7,300.62
4.009,-0.215,1068.6,300.64
4.067,-0.206,1070.8,300.7
4.125,-0.197,1073.1,300.74
4.183,-0.187,1075.8,300.84
4.24,-0.178,1078.7,300.89
4.297,-0.169,1080.7,300.89
4.353,-0.159,1083.1,300.94
4.411,-0.149,1085.1,300.97
4.468,-0.139,1087.5,300.98
4.525,-0.129,1089.6,301.04
4.583,-0.119,1091.8,301.09
4.642,-0.109,1094,301.13
4.699,-0.099,1096.2,301.15
